t,eeg
1747593153.05814,-257.9698474495932
1747593153.0620615,-293.09442896914675
1747593153.0659833,-330.29426024923777
1747593153.0699048,-369.2130939729883
1747593153.0738263,-409.46509045875723
1747593153.0777478,-450.6444006182779
1747593153.0816696,-492.3238019901678
1747593153.085591,-534.0625901963421
1747593153.0895126,-575.4244316082028
1747593153.093434,-615.9878660684208
1747593153.0973558,-655.3482403106486
1747593153.1012774,-693.1259923113936
1747593153.1051989,-728.9812029507525
1747593153.1091204,-762.6193884780564
1747593153.113042,-793.7879933592421
1747593153.1169636,-822.2766144772322
1747593153.1208851,-847.9220368587257
1747593153.1248066,-870.608991057459
1747593153.1287284,-890.2666342915593
1747593153.13265,-906.8667601888244
1747593153.1365714,-920.4225660520135
1747593153.140493,-930.9844084595777
1747593153.1444147,-938.635842874834
1747593153.1483362,-943.4933374513673
1747593153.1522577,-945.7046478697059
1747593153.1561792,-945.4415369606019
1747593153.160101,-942.892789217636
1747593153.1640224,-938.2627312680406
1747593153.167944,-931.7695089138538
1747593153.1718655,-923.638038032214
1747593153.1757872,-914.0933205122141
1747593153.1797087,-903.3591978500394
1747593153.1836302,-891.6571090829635
1747593153.1875517,-879.2001429960073
1747593153.1914735,-866.1877325885478
1747593153.195395,-852.8058484563762
1747593153.1993165,-839.2288585389239
1747593153.203238,-825.6184188443327
1747593153.2071598,-812.1208746770961
1747593153.2110813,-798.8664190033847
1747593153.2150028,-785.9693059709193
1747593153.2189243,-773.5270360863407
1747593153.222846,-761.6195578854523
1747593153.2267675,-750.3100464957556
1747593153.230689,-739.6459181772955
1747593153.2346106,-729.6588782891153
1747593153.2385323,-720.3654996607489
1747593153.2424538,-711.7691550610397
1747593153.2463753,-703.8615258261835
1747593153.2502968,-696.6229839560269
1747593153.2542186,-690.0237314164913
1747593153.25814,-684.0262493749441
1747593153.2620616,-678.5869976833291
1747593153.265983,-673.6567588086291
1747593153.2699049,-669.1816783095779
1747593153.2738264,-665.1056153991186
1747593153.2777479,-661.3717501180507
1747593153.2816694,-657.9227253333376
1747593153.2855911,-654.7012361980135
1747593153.2895126,-651.6518296361467
1747593153.2934341,-648.7221573911318
1747593153.2973557,-645.8628840214204
1747593153.3012774,-643.0277913338637
1747593153.305199,-640.1748748178082
1747593153.3091204,-637.2671320680491
1747593153.313042,-634.2722883546779
1747593153.3169637,-631.1625270267746
1747593153.3208852,-627.9148974151981
1747593153.3248067,-624.5115463236706
