time,alpha,beta,theta,delta
1.003586769104004,1.3300996096882916,1.5738841553801717,1.2857291063634146,1.0184491323376128
2.004990339279175,1.374260723398173,1.4829596283532127,1.5540436876707195,0.9295606221221092
3.0006210803985596,1.4676819418791076,1.4749469004739266,1.4216017619916097,1.4487411417262643
3.9912257194519043,1.615884542232498,1.5427097404323373,1.347628626356334,1.1200495095353475
4.972053289413452,1.341523366816955,1.5093154749769158,1.461014891527368,1.0414688299015646
5.974328517913818,1.4631889949357317,1.5075125997288543,1.366966967534663,1.0759812436098013
6.975586891174316,1.3803459124468187,1.5501462569196116,1.031993326841098,1.1178676075311635
7.976648807525635,1.2651476963259427,1.5205349720228867,0.9707274883964975,1.302649488058716
8.96958065032959,1.392543651172585,1.4775536852079763,1.2516881586053885,1.3426857058000847
9.929458618164062,1.2426687572431652,1.491264897428352,1.3862759425669822,1.2294389805600516
10.92345380783081,1.3240425636811421,1.5179657791706052,1.2697691700702474,0.99239187908903
