t,eeg
1747538862.4427307,-288.0431166952971
1747538862.4466524,-331.4360960905347
1747538862.450574,-376.4178065076544
1747538862.4544954,-422.47719215553525
1747538862.458417,-469.0876186117449
1747538862.4623387,-515.7173391111895
1747538862.4662602,-561.8472333165173
1747538862.4701817,-606.9842232640572
1747538862.4741032,-650.6654073673932
1747538862.478025,-692.4617198043935
1747538862.4819465,-731.9869277916353
1747538862.485868,-768.9060706737943
1747538862.4897895,-802.9377252030936
1747538862.4937112,-833.8532282679057
1747538862.4976327,-861.477347873367
1747538862.5015543,-885.6895938993864
1747538862.5054758,-906.4237437116883
1747538862.5093975,-923.6653245956006
1747538862.513319,-937.447619201618
1747538862.5172405,-947.8470589791527
1747538862.521162,-954.9796014897795
1747538862.5250838,-958.9979008499561
1747538862.5290053,-960.0865058826897
1747538862.5329268,-958.454584131501
1747538862.5368483,-954.3299355141388
1747538862.54077,-947.9561512122868
1747538862.5446916,-939.5892535567372
1747538862.548613,-929.4910833451618
1747538862.5525346,-917.9228049345578
1747538862.5564563,-905.1421864305786
1747538862.5603778,-891.4022268625548
1747538862.5642993,-876.947163790477
1747538862.5682209,-862.0073260986586
1747538862.5721426,-846.7967593515742
1747538862.576064,-831.5131754877056
1747538862.5799856,-816.3368145054748
1747538862.5839071,-801.4278935327096
1747538862.5878289,-786.9252612947698
1747538862.5917504,-772.9470010752497
1747538862.595672,-759.5911990204323
1747538862.5995934,-746.9359568765071
1747538862.6035151,-735.0395196423117
1747538862.6074367,-723.9411900821972
1747538862.6113582,-713.6627775897426
1747538862.6152797,-704.210227414078
1747538862.6192014,-695.5751446709149
1747538862.623123,-687.7359877104884
1747538862.6270444,-680.659346759469
1747538862.630966,-674.3019656964632
1747538862.6348877,-668.6130553230864
1747538862.6388092,-663.535766206083
1747538862.6427307,-659.0080062839218
1747538862.6466522,-654.9639447399855
1747538862.650574,-651.3362853430773
1747538862.6544955,-648.057847587155
1747538862.658417,-645.0620068842856
1747538862.6623385,-642.2833451957314
1747538862.6662602,-639.6592290832474
1747538862.6701818,-637.1311691593829
