t,eeg
1747592937.8541632,-250.0006290895557
1747592937.8580847,-280.95311540043065
1747592937.8620062,-312.7717881533928
1747592937.8659277,-345.2374902500339
1747592937.8698494,-378.1400437223039
1747592937.873771,-411.2676008807456
1747592937.8776925,-444.40227909971304
1747592937.881614,-477.3186769805875
1747592937.8855357,-509.7885119891186
1747592937.8894572,-541.5898913277393
1747592937.8933787,-572.5090731363802
1747592937.8973002,-602.3354277720471
1747592937.901222,-630.8680153255956
1747592937.9051435,-657.932853285437
1747592937.909065,-683.3887575333937
1747592937.9129865,-707.1205125201404
1747592937.9169083,-729.0367552937722
1747592937.9208298,-749.0729996075635
1747592937.9247513,-767.1865831605212
1747592937.9286728,-783.3437753165682
1747592937.9325945,-797.5126991394535
1747592937.936516,-809.6670286856107
1747592937.9404376,-819.7932491053273
1747592937.944359,-827.8981859761467
1747592937.9482808,-834.0177895365042
1747592937.9522023,-838.2207971483375
1747592937.9561238,-840.6026387563841
1747592937.9600453,-841.2787071441854
1747592937.963967,-840.383455695108
1747592937.9678886,-838.068007218829
1747592937.97181,-834.4922694658758
1747592937.9757316,-829.8182161712573
1747592937.9796534,-824.207882043738
1747592937.9835749,-817.821714823364
1747592937.9874964,-810.8147520667579
1747592937.991418,-803.3334100112368
1747592937.9953396,-795.5143457619815
1747592937.9992611,-787.4833733856586
1747592938.0031826,-779.3537960705596
1747592938.0071042,-771.2258042209842
1747592938.011026,-763.1868840175706
1747592938.0149474,-755.3115118019069
1747592938.018869,-747.6604421535931
1747592938.0227904,-740.2813701133946
1747592938.0267122,-733.2105398902323
1747592938.0306337,-726.4733495323975
1747592938.0345552,-720.0841759732135
1747592938.0384767,-714.0473103618384
1747592938.0423985,-708.3589563796855
1747592938.04632,-703.0084781933898
1747592938.0502415,-697.9786533181224
1747592938.054163,-693.2464498852937
1747592938.0580847,-688.7847121163483
1747592938.0620062,-684.5635200425776
1747592938.0659277,-680.5507264589916
1747592938.0698493,-676.7125349264993
1747592938.073771,-673.0145663900498
1747592938.0776925,-669.422843879922
1747592938.081614,-665.9043519592653
1747592938.0855355,-662.4274907055993
1747592938.0894573,-658.9625795962169
1747592938.0933788,-655.4822356841916
1747592938.0973003,-651.9616784587058
1747592938.1012218,-648.3790902747547
1747592938.1051435,-644.7158160398186
1747592938.109065,-640.9562680363848
1747592938.1129866,-637.0878682733857
1747592938.116908,-633.1012274518663
1747592938.1208298,-628.9901807327284
1747592938.1247513,-624.7514045889385
1747592938.1286728,-620.3840196187037
1747592938.1325943,-615.8895692381195
1747592938.136516,-611.2720329320879
1747592938.1404376,-606.5374276089171
1747592938.144359,-601.6932613518263
1747592938.1482806,-596.7483257715144
1747592938.1522024,-591.7126828005026
1747592938.1561239,-586.5973899862441
1747592938.1600454,-581.4140140193234
1747592938.163967,-576.1743370177869
1747592938.1678886,-570.8902956217366
1747592938.1718102,-565.5738426701058
1747592938.1757317,-560.2366468163019
1747592938.1796532,-554.8898441078834
1747592938.183575,-549.5439427034478
1747592938.1874964,-544.2087649175961
1747592938.191418,-538.8933449951676
1747592938.1953394,-533.6058186265027
1747592938.1992612,-528.3533422798381
1747592938.2031827,-523.1420593248642
1747592938.2071042,-517.9771277489336
1747592938.2110257,-512.8627632852142
1747592938.2149475,-507.80222409871385
1747592938.218869,-502.7977799970172
1747592938.2227905,-497.85078292357036
1747592938.226712,-492.96181188223676
1747592938.2306337,-488.1307410261615
1747592938.2345552,-483.35672168395735
1747592938.2384768,-478.63823715811225
1747592938.2423983,-473.97327136198874
1747592938.24632,-469.35943593878153
1747592938.2502415,-464.79398018324275
1747592938.254163,-460.2738142629224
1747592938.2580845,-455.7956401188548
1747592938.2620063,-451.3560881759835
1747592938.2659278,-446.95175465723605
1747592938.2698493,-442.579205469235
1747592938.2737708,-438.23504623815523
1747592938.2776926,-433.91602290372373
1747592938.281614,-429.61906743436674
1747592938.2855356,-425.34129918025087
1747592938.289457,-421.0800450122549
1747592938.2933788,-416.8328829464072
1747592938.2973003,-412.597671208985
1747592938.3012218,-408.37255315803264
1747592938.3051434,-404.1559532341358
1747592938.309065,-399.94657105881686
1747592938.3129866,-395.74337833574356
1747592938.3169081,-391.5456218464241
1747592938.3208296,-387.35281663483454
1747592938.3247514,-383.16471472049676
1747592938.328673,-378.9812715426549
1747592938.3325944,-374.80263848455786
1747592938.336516,-370.62916173698534
1747592938.3404377,-366.4613501403858
1747592938.3443592,-362.29982656864365
1747592938.3482807,-358.1453071838816
1747592938.3522022,-353.998592282499
1747592938.356124,-349.86052291875416
1747592938.3600454,-345.7319494108488
1747592938.363967,-341.61350284431086
1747592938.3678885,-337.504793042122
1747592938.3718102,-333.4037475162276
1747592938.3757317,-329.3069865531564
1747592938.3796532,-325.2102234504825
1747592938.3835747,-321.10789963672977
1747592938.3874965,-316.99325450014754
1747592938.391418,-312.85835794114047
1747592938.3953395,-308.69131769381494
1747592938.399261,-304.4717450385503
1747592938.4031827,-300.16990640617155
1747592938.4071043,-295.7503118077141
1747592938.4110258,-291.17460116098226
1747592938.4149473,-286.40353611205
1747592938.418869,-281.4012230724768
1747592938.4227905,-276.1361646011554
1747592938.426712,-270.57577102801537
1747592938.4306335,-264.68322015767836
1747592938.4345553,-258.41813649850803
1747592938.4384768,-251.7324847198518
1747592938.744359,252.35028577749864
1747592938.7482808,255.85961420499763
1747592938.7522023,259.31576339853285
1747592938.7561238,262.63191703824094
1747592938.7600453,265.7018134017273
1747592938.763967,268.4214116808923
1747592938.7678885,270.7183449190431
1747592938.9527466,-253.784120508278
1747592938.9566681,-280.8892952222115
1747592938.96059,-307.83891667403987
1747592938.9645114,-334.3833498800097
1747592938.968433,-360.29089692166576
1747592938.9723544,-385.34856777470605
1747592938.9762762,-409.348755004052
1747592938.9801977,-432.0656781956951
1747592938.9841192,-453.257484092969
1747592938.9880407,-472.69082155315795
1747592938.9919624,-490.15297268630707
1747592938.995884,-505.4568180662831
1747592938.9998055,-518.4617146644214
1747592939.003727,-529.0975812258716
1747592939.0076487,-537.3634382381583
1747592939.0115702,-543.3020650463988
1747592939.0154917,-546.9803953601522
1747592939.0194132,-548.4815037451306
1747592939.023335,-547.8916085440615
1747592939.0272565,-545.2937346400527
1747592939.031178,-540.7821653087422
1747592939.0350995,-534.4733819110198
1747592939.0390213,-526.4989824871736
1747592939.0429428,-517.0058639744367
1747592939.0468643,-506.17390711669003
1747592939.0507858,-494.22168333535285
1747592939.0547075,-481.38380229860127
1747592939.058629,-467.8864759318162
1747592939.0625505,-453.94052564656425
1747592939.066472,-439.7310154573028
1747592939.0703938,-425.399716648198
1747592939.0743153,-411.0507210553784
1747592939.0782368,-396.7757696592128
1747592939.0821583,-382.6670854217112
1747592939.08608,-368.8192885279209
1747592939.0900016,-355.3396293636801
1747592939.093923,-342.359571215865
1747592939.0978446,-330.0285711889918
1747592939.1017663,-318.49169408198236
1747592939.1056879,-307.87095208096383
1747592939.1096094,-298.2523135225602
1747592939.1135309,-289.6640062517261
1747592939.1174526,-282.06426808415966
1747592939.1213741,-275.36527202881075
1747592939.1252956,-269.4663410941767
1747592939.1292171,-264.2633916625402
1747592939.133139,-259.65523925273544
1747592939.1370604,-255.56745701971957
1747592939.140982,-251.97530830416122
1747592939.1919622,-250.06612173305703
1747592939.195884,-250.74239610425184
1747592939.1998055,-251.31620540062033
1747592939.203727,-251.78729865568292
1747592939.2076485,-252.12602339123129
1747592939.2115703,-252.29804677413875
1747592939.2154918,-252.28271381777273
1747592939.2194133,-252.06624154712037
1747592939.2233348,-251.634368750313
1747592939.2272565,-250.98447113235895
1747592939.231178,-250.14108129088456
1747592939.3252957,-250.41347619148812
1747592939.3292172,-250.91769361340786
1747592939.3331387,-251.42696505212152
1747592939.3370605,-252.0203290687615
1747592939.340982,-252.72992942177672
1747592939.3449035,-253.54294451896436
1747592939.348825,-254.4259880570553
1747592939.3527467,-255.32944302625472
1747592939.3566682,-256.1794626299571
1747592939.3605897,-256.8901040045471
1747592939.3645113,-257.38333208173094
1747592939.368433,-257.59435311161457
1747592939.3723545,-257.47582351192034
1747592939.376276,-257.0140266676123
1747592939.3801975,-256.24397087364446
1747592939.3841193,-255.248985375194
1747592939.3880408,-254.1440484655271
1747592939.3919623,-253.0500384474078
1747592939.3958838,-252.0625838964133
1747592939.3998055,-251.22030600669683
1747592939.403727,-250.49630641357817
1747592939.8760366,-264.3382729696083
